1,Frederik,Kruusimae,fkruusimae@hkhk.edu.ee,"Zaporožets",335,2010,10000.0
2,Karin,Eegreid,keegreid@hkhk.edu.ee,Mazda,363,2000,500.0
3,Heli,Kopter,hkopter@hkhk.edu.ee,lexus,NX,2016,15000.0
4,Ariana,Perutto,aperutto0@last.fm,Chrysler,Crossfire,2006,63728.72
6,Jilli,Keedy,jkeedy2@free.fr,Mitsubishi,Chariot,1994,94014.56
7,Eleanore,Ridding,eridding3@admin.ch,Plymouth,Voyager,1995,3985.95
9,Cordelie,Musprat,cmusprat5@g.co,Buick,"Park Avenue",1996,77715.65
11,Dorry,Belsher,dbelsher7@kickstarter.com,Oldsmobile,98,1995,90104.17
12,Ayn,Ricold,aricold8@tinyurl.com,Volkswagen,rio,2001,94534.13
13,Molly,Nutty,mnutty9@cargocollective.com,Dodge,"Ram Van 1500",2001,47566.3
14,Ham,Pierton,hpiertona@ezinearticles.com,Chevrolet,Corvette,1970,94054.49
16,Dalt,Danneil,ddanneilc@blinklist.com,Pontiac,1000,1985,38527.57
17,Gottfried,Drewitt,gdrewittd@earthlink.net,Ford,F350,2004,46169.41
18,Deana,Bamborough,dbamboroughe@1688.com,Ford,Escape,2009,90458.07
19,Toddy,Knagges,tknaggesf@github.com,GMC,Sonoma,1997,78186.17
21,Gael,Comini,gcominih@shop-pro.jp,Mitsubishi,Montero,2004,20168.23
22,Stefa,Villar,svillari@dot.gov,Mercury,Cougar,2001,74272.44
23,Dani,Mateuszczyk,dmateuszczykj@bizjournals.com,Volkswagen,"Type 2",1989,59268.38
24,Merilyn,McCafferky,mmccafferkyk@yahoo.co.jp,Tesla,Roadster,2012,90816.99
25,Alicea,Menendez,amenendezl@jalbum.net,Dodge,"Ram Van B350",1992,91766.77
26,Kai,Englefield,kenglefieldm@twitpic.com,Porsche,Boxster,1998,21661.88
27,Gianina,Yateman,gyatemann@rambler.ru,GMC,Envoy,2003,43085.43
28,Olwen,Cuff,ocuffo@sogou.com,Mercedes-Benz,R-Class,2012,90103.82
29,Georgi,Elby,gelbyp@merriam-webster.com,Mercedes-Benz,CLK-Class,2004,24958.66
30,Bruce,Sloey,bsloeyq@amazon.co.jp,Dodge,"Grand Caravan",2012,69115.63
31,Marianne,Ibbison,mibbisonr@foxnews.com,Audi,A5,2010,76051.81
32,Dayle,Balderstone,dbalderstones@prweb.com,Porsche,Boxster,2011,64916.99
33,Foster,Rundall,frundallt@topsy.com,Pontiac,Parisienne,1984,46236.15
34,Melisa,Money,mmoneyu@foxnews.com,Ford,Mustang,2006,79054.77
35,Carolus,Houlden,chouldenv@nps.gov,Dodge,Viper,1994,93729.73
36,Bessie,Aggs,baggsw@yellowpages.com,Geo,Storm,1993,14873.79
37,Darline,Towe,dtowex@scientificamerican.com,Volkswagen,GTI,1996,85875.71
38,Timmie,Selley,tselleyy@eepurl.com,GMC,"Vandura 2500",1993,80345.46
39,Ruttger,Butte,rbuttez@google.com.au,Volvo,V70,2001,40423.4
40,Corrine,Bowden,cbowden10@newyorker.com,Mitsubishi,Diamante,2004,25142.73
41,Desiree,Sones,dsones11@jalbum.net,Dodge,Dakota,1994,20692.13
42,Sophronia,Antonetti,santonetti12@technorati.com,Jeep,Cherokee,1993,67523.13
43,Ingaberg,Drillingcourt,idrillingcourt13@hud.gov,Studebaker,Avanti,1961,3891.94
44,Kariotta,Niblock,kniblock14@nbcnews.com,Chevrolet,Blazer,2004,88503.62
45,Griffin,Heams,gheams15@intel.com,Ford,Escape,2013,81338.06
46,Ashlee,Ameer-Beg,aameerbeg16@unblog.fr,Lincoln,"Town Car",2005,85076.3
47,Darcie,Jagels,djagels17@deviantart.com,Audi,A4,2001,61354.13
48,Pasquale,Larrie,plarrie18@dell.com,Volvo,C30,2009,31270.94
49,Ethelind,Clousley,eclousley19@cpanel.net,Saab,9-2X,2005,82716.05
50,Joy,Paulton,jpaulton1a@ftc.gov,Porsche,Boxster,2013,17302.46
51,Jon,Lombardo,jlombardo1b@blogs.com,BMW,"X6 M",2012,12726.69
52,Bonni,Lisle,blisle1c@aboutads.info,Toyota,Prius,2010,13423.11
53,Morley,Cleobury,mcleobury1d@nifty.com,Plymouth,Breeze,1997,91491.13
54,Ingelbert,Ungerechts,iungerechts1e@foxnews.com,Suzuki,XL-7,2004,9684.57
55,Kassia,Blakesley,kblakesley1f@unc.edu,Mazda,"Miata MX-5",2009,44526.05
56,Eamon,Rivalland,erivalland1g@ask.com,GMC,3500,1994,15240.97
57,Bradly,Gregorowicz,bgregorowicz1h@nba.com,Chevrolet,Uplander,2005,75404.91
58,Purcell,Dahlborg,pdahlborg1i@t-online.de,Chevrolet,Aveo,2010,77737.96
59,Bonnee,Abramov,babramov1j@ftc.gov,Suzuki,Sidekick,1995,98853.34
60,Karolina,Bridgens,kbridgens1k@disqus.com,Chevrolet,"Sportvan G20",1994,75305.86
61,Dexter,Richardes,drichardes1l@google.com.hk,Eagle,Vision,1993,31086.13
62,Guenevere,Gomer,ggomer1m@gov.uk,Fiat,"Nuova 500",2012,23826.22
63,Rees,McDougall,rmcdougall1n@edublogs.org,Subaru,XT,1987,44323.26
64,Godfry,Swetenham,gswetenham1o@vinaora.com,Suzuki,Kizashi,2012,53044.22
65,Ainslee,Dooley,adooley1p@dailymail.co.uk,Mazda,Millenia,1997,7740.27
66,Sapphira,Scoone,sscoone1q@skyrock.com,Porsche,Cayenne,2011,69662.46
67,Anthea,Mallinar,amallinar1r@epa.gov,BMW,"5 Series",2002,84660.52
68,Bettine,Beaufoy,bbeaufoy1s@sogou.com,Pontiac,Sunfire,2001,84394.9
69,Bonnibelle,Ahrend,bahrend1t@phpbb.com,Acura,SLX,1996,5646.94
70,Denys,Whenman,dwhenman1u@paypal.com,Chevrolet,Camaro,1999,49531.89
71,Sarah,Kettridge,skettridge1v@ted.com,Subaru,Justy,1991,37860.96
72,Mohandis,Nicolls,mnicolls1w@issuu.com,Oldsmobile,Silhouette,1992,62435.83
73,Madison,Sculpher,msculpher1x@prnewswire.com,Isuzu,"Hombre Space",1997,31438.01
74,Kelsey,Braffington,kbraffington1y@unblog.fr,Hyundai,"Santa Fe",2006,93535.18
75,Harwell,Babar,hbabar1z@google.co.uk,Hyundai,Elantra,2005,65367.5
76,Charles,Piner,cpiner20@comsenz.com,Buick,Regal,2011,36081.24
77,Raymund,Dalinder,rdalinder21@jiathis.com,"Land Rover","Range Rover Sport",2012,14509.67
78,Heidi,Kiljan,hkiljan22@seattletimes.com,Chevrolet,Impala,2006,8506.66
79,Gery,Windham,gwindham23@home.pl,Toyota,Tundra,2001,54283.03
80,Nerti,Schimann,nschimann24@sfgate.com,Toyota,Cressida,1992,51914.92
81,Dukie,Cappel,dcappel25@cdbaby.com,Acura,MDX,2002,59484.76
82,Marcellus,Sambath,msambath26@ucsd.edu,Volkswagen,Passat,1998,23343.25
83,Marigold,Forshaw,mforshaw27@storify.com,BMW,M3,1997,73961.67
84,Martha,Oag,moag28@craigslist.org,Chevrolet,Corvette,1956,64017.84
85,Maje,Spoerl,mspoerl29@geocities.jp,Volkswagen,Corrado,1993,12741.78
86,Sayres,Drewell,sdrewell2a@jiathis.com,Lincoln,"Town Car",1985,63913.59
87,Tabby,Fitzer,tfitzer2b@census.gov,Nissan,Quest,2009,94570.89
88,Gardiner,Nollet,gnollet2c@privacy.gov.au,Nissan,Maxima,1990,45864.38
89,Corrine,Hazzard,chazzard2d@blinklist.com,Ford,Taurus,2010,17879.26
90,Remington,"Van den Broek",rvandenbroek2e@simplemachines.org,Toyota,MR2,2003,14025.96
91,Phineas,Barfield,pbarfield2f@sciencedirect.com,Buick,Skylark,1986,58424.45
92,Vance,Bakhrushin,vbakhrushin2g@dagondesign.com,Ford,Mustang,2012,84596.45
93,Nissa,Glidder,nglidder2h@mapquest.com,Lamborghini,Gallardo,2007,95120.31
94,Letti,Loxston,lloxston2i@illinois.edu,Chevrolet,"Suburban 1500",2004,6155.95
95,Chad,Matskiv,cmatskiv2j@newyorker.com,Volkswagen,Corrado,1991,42914.2
96,Haydon,Tolussi,htolussi2k@army.mil,Ford,F450,2012,23527.62
97,Atlante,Kenright,akenright2l@indiegogo.com,Mercury,Monterey,2004,90546.13
98,Willdon,Huws,whuws2m@tinypic.com,Volkswagen,GTI,1996,22496.31
99,Giordano,Pren,gpren2n@ucoz.com,GMC,Jimmy,1996,43092.47
100,Renate,Moens,rmoens2o@amazon.co.uk,Audi,Q7,2009,22297.83
101,Kristan,Eddisford,keddisford2p@yellowbook.com,Acura,TL,1998,17329.57
103,Peri,Carek,pcarek2r@latimes.com,Suzuki,Aerio,2002,11319.74
104,Scotty,Courtney,scourtney2s@mozilla.com,Ford,Ranger,2004,29082.28
105,Calv,Rapkins,crapkins2t@washingtonpost.com,Toyota,Echo,2001,61577.51
106,Gran,Boeck,gboeck2u@npr.org,Mazda,"Miata MX-5",1993,80691.57
107,Hamish,Simpkins,hsimpkins2v@soup.io,Lexus,RX,2013,60574.13
108,Langston,Skully,lskully2w@zimbio.com,Daihatsu,Charade,1992,88383.64
110,Devonne,Abercromby,dabercromby2y@apple.com,Saturn,Outlook,2010,90590.14
111,Willi,Rosbotham,wrosbotham2z@xinhuanet.com,Oldsmobile,Silhouette,1996,46729.09
112,Rhodie,Pratten,rpratten30@surveymonkey.com,Kia,Optima,2009,69849.37
113,Virgil,Bows,vbows31@imdb.com,Suzuki,Swift,2004,26752.22
114,Leda,Malloy,lmalloy32@hhs.gov,Subaru,Baja,2004,51914.16
115,Allan,Kingscott,akingscott33@yandex.ru,Dodge,Avenger,1995,11350.37
